# Table EV1 from 									
# https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5327727/#msb167233-sup-0002									
ORF	Symbol	Etymology	SGDID	Note	Description	Chr	StartBp	EndBP	Chain
YAL012W	CYS3	CYStathionine gamma-lyase	S000000010	Respiration	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress	I	130799	131983	+
YGR155W	CYS4 STR4	CYStathionine beta-synthase	S000003387	Respiration	"Cystathionine beta-synthase; catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis; responsible for hydrogen sulfide generation; advances passage through START by promoting cell growth which requires catalytic activity, and reducing critical cell size independent of catalytic activity; mutations in human ortholog CBS cause homocystinuria; human CBS can complement yeast null mutant"	VII	798543	800066	+
YOR065W	CYT1	CYTochrome c1	S000005591	Respiration	"Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex"	XV	447439	448368	+
YKL087C	CYT2	CYTochrome-c1-heme-lyase	S000001570	Respiration	"Cytochrome c1 heme lyase; involved in maturation of cytochrome c1, which is a subunit of the mitochondrial ubiquinol-cytochrome-c reductase; links heme covalently to apocytochrome c1; human homolog HCCS can complement yeast cyt2 null mutant"	XI	277189	277863	-
YLR270W	DCS1	DeCapping Scavenger	S000004260	Respiration	"Non-essential hydrolase involved in mRNA decapping; activates Xrn1p; may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; acts as inhibitor of neutral trehalase Nth1p; required for growth on glycerol medium; protein abundance increases in response to DNA replication stress; DCS1 has a paralog, DCS2, that arose from the whole genome duplication"	XII	681186	682238	+
YOR022C	DDL1	DDHD Domain-containing Lipase	S000005548	Respiration	"DDHD domain-containing phospholipase A1; mitochondrial matrix enzyme with sn-1-specific activity, hydrolyzing cardiolipin, PE, PC, PG and PA; implicated in remodeling of mitochondrial phospholipids; antagonistically regulated by Aft1p and Aft2p; in humans, mutations in DDHD1 and DDHD2 genes cause specific types of hereditary spastic paraplegia, while DDL1-defective yeast share similar phenotypes such as mitochondrial dysfunction and defects in lipid metabolism"	XV	373710	375857	-
YBR163W	EXO5	EXOnuclease V	S000000367	Respiration	Mitochondrial 5'-3' exonuclease and sliding exonuclease; required for mitochondrial genome maintenance; distantly related to the RecB nuclease domain of bacterial RecBCD recombinases; may be regulated by the transcription factor Ace2	II	565723	567480	+
YHR011W	DIA4	Digs Into Agar	S000001053	Respiration	Probable mitochondrial seryl-tRNA synthetase; mutant displays increased invasive and pseudohyphal growth	VIII	127780	129120	+
YKL002W	DID4	Doa4-Independent Degradation	S000001485	Respiration	"Class E Vps protein of the ESCRT-III complex; required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis"	XI	437778	438544	+
YPL265W	DIP5	DIcarboxylic amino acid Permease	S000006186	Respiration	"Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress"	XVI	41043	42869	+
YDR069C	DOA4	Degradation Of Alpha	S000002476	Respiration	"Ubiquitin hydrolase; deubiquitinates intralumenal vesicle (ILVs) cargo proteins; required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins destined for the vacuole; DOA4 has a paralog, UBP5, that arose from the whole genome duplication"	IV	584939	587719	-
YGL240W	DOC1	Destruction Of Cyclin B	S000003209	Respiration	"Processivity factor; required for the ubiquitination activity of the anaphase promoting complex (APC), mediates the activity of the APC by contributing to substrate recognition; involved in cyclin proteolysis; contains a conserved DOC1 homology domain"	VII	48613	49365	+
YAL026C	DRS2	Deficiency of Ribosomal Subunits	S000000024	Respiration	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	I	95630	99697	-
YNL136W	EAF7	Esa1-Associated Factor	S000005080	Respiration	Subunit of the NuA4 histone acetyltransferase complex; NuA4 acetylates the N-terminal tails of histones H4 and H2A	XIV	370368	371645	+
YDR512C	EMI1	Early Meiotic Induction	S000002920	Respiration	"Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1, also required for sporulation; contains twin cysteine-x9-cysteine motifs; deletion affects mitochondrial morphology"	IV	1470500	1471063	-
YLR083C	EMP70		S000004073	Respiration	"Protein with a role in cellular adhesion and filamentous growth; also endosome-to-vacuole sorting; similar to Tmn3p; member of Transmembrane Nine family of proteins with 9 transmembrane segments; EMP70 has a paralog, TMN2, that arose from the whole genome duplication"	XII	294091	296094	-
YNL080C	EOS1	ER-localized and Oxidants Sensitive	S000005024	Respiration	Protein involved in N-glycosylation; deletion mutation confers sensitivity to exidative stress and shows synthetic lethality with mutations in the spindle checkpoint genes BUB3 and MAD1; YNL080C is not an essential gene	XIV	476932	478032	-
YMR202W	ERG2	ERGosterol biosynthesis	S000004815	Respiration	C-8 sterol isomerase; catalyzes isomerization of delta-8 double bond to delta-7 position at an intermediate step in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutation is functionally complemented by human EBP	XIII	667537	668205	+
YNL280C	ERG24	ERGosterol biosynthesis	S000005224	Respiration	"C-14 sterol reductase; acts in ergosterol biosynthesis; mutants accumulate the abnormal sterol ignosterol (ergosta-8,14 dienol), and are viable under anaerobic growth conditions but inviable on rich medium under aerobic conditions"	XIV	109095	110411	-
YLR056W	ERG3	ERGosterol biosynthesis	S000004046	Respiration	"C-5 sterol desaturase; glycoprotein that catalyzes the introduction of a C-5(6) double bond into episterol, a precursor in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutants are viable, but cannot grow on non-fermentable carbon sources; substrate of HRD ubiquitin ligase; mutation is functionally complemented by human SC5D"	XII	253861	254958	+
YBR026C	ETR1	2-Enoyl Thioester Reductase	S000000230	Respiration	"2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to mitochondria, where it has a probable role in fatty acid synthesis; human MECR functionally complements the respiratory growth defect of the null mutant"	II	292877	294019	-
YDR518W	EUG1	ER protein Unnecessary for Growth	S000002926	Respiration	"Protein disulfide isomerase of the endoplasmic reticulum lumen; EUG1 has a paralog, PDI1, that arose from the whole genome duplication; function overlaps with that of Pdi1p; may interact with nascent polypeptides in the ER"	IV	1478608	1480161	+
YFR019W	FAB1	Forms Aploid and Binucleate cells	S000001915	Respiration	"1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis"	VI	184502	191338	+
YLR377C	FBP1	"Fructose-1,6-BisPhosphatase"	S000004369	Respiration	"Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p"	XII	873746	874792	-
YJL155C	FBP26	Fructose BisPhosphatase	S000003691	Respiration	"Fructose-2,6-bisphosphatase, required for glucose metabolism; protein abundance increases in response to DNA replication stress"	X	129285	130643	-
YMR058W	FET3	FErrous Transport	S000004662	Respiration	"Ferro-O2-oxidoreductase; multicopper oxidase that oxidizes ferrous (Fe2+) to ferric iron (Fe3+) for subsequent cellular uptake by transmembrane permease Ftr1p; required for high-affinity iron uptake and involved in mediating resistance to copper ion toxicity, belongs to class of integral membrane multicopper oxidases; protein abundance increases in response to DNA replication stress"	XIII	388822	390732	+
YHR038W	FIL1	Ribosome Recycling Factor	S000001080	Respiration	Mitochondrial ribosome recycling factor; essential for mitochondrial protein synthesis and for the maintenance of the respiratory function of mitochondria	VIII	184066	184758	+
YDR519W	FKB2	FKBP Proline Rotamase	S000002927	Respiration	Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; expression pattern suggests possible involvement in ER protein trafficking; relocalizes from nucleus to vacuole upon DNA replication stress; mutation is functionally complemented by human FKBP2	IV	1480425	1480832	+
YIL098C	FMC1	Formation of Mitochondrial Complexes	S000001360	Respiration	Mitochondrial matrix protein; required for assembly or stability at high temperature of the F1 sector of mitochondrial F1F0 ATP synthase; null mutant temperature sensitive growth on glycerol is suppressed by multicopy expression of Odc1p	IX	179772	180239	-
YLR077W	FMP25	Found in Mitochondrial Proteome	S000004067	Respiration	Protein required for assembly of respiratory complex III; mitochondrial inner membrane protein; required for an early step in assembly of respiratory complex III (cytochrome bc1 complex); mRNA is targeted to mitochondria	XII	283872	285623	+
YER145C	FTR1	Fe TRansporter	S000000947	Respiration	High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress	V	460526	461740	-
YPL262W	FUM1	FUMarase	S000006183	Respiration	"Fumarase; converts fumaric acid to L-malic acid in the TCA cycle; cytosolic and mitochondrial distribution determined by the N-terminal targeting sequence, protein conformation, and status of glyoxylate shunt; phosphorylated in mitochondria"	XVI	47336	48802	+
YBR179C	FZO1	FuZzy Onions homolog	S000000383	Respiration	Mitofusin; integral membrane protein involved in mitochondrial outer membrane tethering and fusion; role in mitochondrial genome maintenance; efficient tethering and degradation of Fzo1p requires an intact N-terminal GTPase domain; targeted for destruction by the ubiquitin ligase SCF-Mdm30p and the cytosolic ubiquitin-proteasome system	II	586547	589114	-
YOL051W	GAL11	GALactose metabolism	S000005411	Respiration	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; affects transcription by acting as target of activators and repressors; forms part of the tail domain of mediator	XV	234940	238185	+
YAL044C	GCV3	GlyCine cleaVage	S000000042	Respiration	"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"	I	57950	58462	-
YBR187W	GDT1	Gcr1 Dependent Translation factor	S000000391	Respiration	"Calcium and manganese transporter with higher affinity for Ca2+; involved in Ca2+ and Mn2+ homeostasis; localizes to the cis- and medial-Golgi apparatus; GFP-fusion localizes to the vacuole; required for the Mn2+-dependent function of glycosylation enzymes; TMEM165, a human ortholog linked to Congenital Disorders of Glycosylation, functionally complements the null allele; expression pattern and physical interactions suggest a possible role in ribosome biogenesis; expression regulated by Gcr1p "	II	602634	603476	+
YJR040W	GEF1	"Glycerol Ethanol, Ferric requiring"	S000003801	Respiration	"Voltage-gated chloride channel; localized to the golgi, the endosomal system, and plasma membrane; involved in cation homeostasis; highly homologous to vertebrate voltage-gated chloride channels; modulates TBSV model (+) RNA virus replication by regulating copper metabolism"	X	507746	510085	+
YOR205C	GEP3	GEnetic interactors of Prohibitins	S000005731	Respiration	Protein required for mitochondrial ribosome small subunit biogenesis; null mutant is defective in respiration and in maturation of 15S rRNA; protein is localized to the mitochondrial inner membrane; null mutant interacts synthetically with prohibitin (Phb1p)	XV	725564	727234	-
YHR100C	GEP4	GEnetic interactors of Prohibitins	S000001142	Respiration	"Mitochondrial phosphatidylglycerophosphatase (PGP phosphatase); dephosphorylates phosphatidylglycerolphosphate to generate phosphatidylglycerol, an essential step during cardiolipin biosynthesis; null mutant is sensitive to tunicamycin, DTT"	VIII	314116	314673	-
YLR091W	GEP5	GEnetic interactors of Prohibitins	S000004081	Respiration	"Protein of unknown function; required for efficient 5' processing of mitochondrial tRNAs, for respiratory growth and mitochondrial genome maintenance; null mutant has decreased levels of cardiolipin and phosphatidylethanolamine; localizes to the matrix side of the inner mitochondrial membrane"	XII	322297	323178	+
YGL057C	GEP7	GEnetic interactors of Prohibitins	S000003025	Respiration	"Protein of unknown function; null mutant exhibits a respiratory growth defect and synthetic interactions with prohibitin (phb1) and gem1; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	VII	394966	395829	-
YER083C	GET2	Guided Entry of Tail-anchored proteins	S000000885	Respiration	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division	V	326174	327031	-
YIR024C	GIF1		S000001463	Respiration	"F1F0 ATP synthase peripheral stalk assembly factor; subunit of the matrix-exposed inner mitochondrial membrane localized INA complex (Ina22p-Ina17p) involved in assembly of the F1F0 peripheral stalk; co-purifies with Aim43p, ATP synthase subunits, and cytochrome bc1 complex assembly factors; interacts with Arh1p, a mitochondrial oxidoreductase; deletion mutant has a respiratory growth defect"	IX	402841	403491	-
YDR507C	GIN4		S000002915	Respiration	"Protein kinase involved in bud growth and assembly of the septin ring; proposed to have kinase-dependent and kinase-independent activities; undergoes autophosphorylation; similar to Hsl1p; GIN4 has a paralog, KCC4, that arose from the whole genome duplication"	IV	1462358	1465786	-
YER122C	GLO3	GLyOxalase	S000000924	Respiration	ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; shares functional similarity with Gcs1p	V	402871	404352	-
YPL059W	GRX5	GlutaRedoXin	S000005980	Respiration	Glutathione-dependent oxidoreductase; mitochondrial matrix protein involved at an early step in the biogenesis of iron-sulfur centers along with Bol1p; hydroperoxide and superoxide-radical responsive; monothiol glutaredoxin subfamily member along with Grx3p and Grx4p	XVI	444579	445031	+
YGR102C	GTF1	Glutaminyl Transamidase subunit F	S000003334	Respiration	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; transposon insertion mutant is salt sensitive and null mutant has growth defects; non-tagged protein is detected in purified mitochondria	VII	694584	695135	-
YGL084C	GUP1	Glycerol UPtake	S000003052	Respiration	"Plasma membrane protein involved in remodeling GPI anchors; member of the MBOAT family of putative membrane-bound O-acyltransferases; role in misfolded protein quality control; proposed to be involved in glycerol transport; homolog of the mammalian Hedgehog pathway modulator HHATL; GUP1 has a paralog, GUP2, that arose from the whole genome duplication"	VII	350616	352298	-
YGL237C	HAP2	Heme Activator Protein	S000003206	Respiration	Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA	VII	52731	53528	-
YBL021C	HAP3	Heme Activator Protein	S000000117	Respiration	Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences contributing to both complex assembly and DNA binding	II	181660	182094	-
YKL109W	HAP4	Heme Activator Protein	S000001592	Respiration	"Transcription factor; subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; provides the principal activation function of the complex; involved in diauxic shift"	XI	232227	233891	+
YOR358W	HAP5		S000005885	Respiration	Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; required for assembly and DNA binding activity of the complex	XV	1010161	1010889	+
YCR065W	HCM1	High-Copy suppressor of Calmodulin	S000000661	Respiration	"Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation, spindle dynamics, budding; also activates genes involved in respiration, use of alternative energy sources (like proline), NAD synthesis, oxidative stress resistance; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4"	III	229310	231004	+
YER014W	HEM14	HEMe biosynthesis	S000000816	Respiration	"Protoporphyrinogen oxidase; a mitochondrial enzyme that catalyzes the seventh step in the heme biosynthetic pathway, converting protoporphyrinogen IX to protoporphyrin IX; inhibited by diphenyl ether-type herbicides"	V	182600	184219	+
YDL119C	HEM25	HEMe synthesis by SLC25 family member	S000002277	Respiration	"Mitochondrial glycine transporter; required for the transport of glycine into mitochondria for initiation of heme biosynthesis, with YMC1 acting as a secondary transporter; homolog of human SLC25A38, a mitochondrial glycine transporter associated with nonsyndromic autosomal recessive congenital sideroblastic anemia; human SLC25A38 can complement the heme deficiency associated with the null mutant; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"	IV	246689	247612	-
YMR293C	HER2		S000004907	Respiration	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; required for remodeling of ER caused by Hmg2p overexpression; similar to bacterial GatA glutamyl-tRNA amidotransferase	XIII	855399	856793	-
YMR207C	HFA1		S000004820	Respiration	Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon	XIII	677193	683564	-
YPL254W	HFI1	Histone H2A Functional Interactor	S000006175	Respiration	Adaptor protein required for structural integrity of the SAGA complex; a histone acetyltransferase-coactivator complex that is involved in global regulation of gene expression through acetylation and transcription functions	XVI	69485	70951	+
YOL095C	HMI1		S000005455	Respiration	Mitochondrial inner membrane localized ATP-dependent DNA helicase; required for the maintenance of the mitochondrial genome; not required for mitochondrial transcription; has homology to E. coli helicase uvrD	XV	139227	141347	-
YDR138W	HPR1		S000002545	Respiration	"Subunit of THO/TREX complexes; this complex couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p"	IV	730578	732836	+
YDR533C	HSP31	Heat-Shock Protein	S000002941	Respiration	"Methylglyoxalase that converts methylglyoxal to D-lactate; involved in oxidative stress resistance, diauxic shift, and stationary phase survival; has similarity to E. coli Hsp31 and C. albicans Glx3p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease and cancer; exists as a dimer and contains a putative metal-binding site; protein abundance increases in response to DNA replication stress"	IV	1501447	1502160	-
YDR225W	HTA1	Histone h Two A	S000002633	Respiration	Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p; N-terminally propionylated in vivo	IV	915530	915928	+
YHR067W	HTD2	Hydroxyacyl-Thioester Dehydratase	S000001109	Respiration	"Mitochondrial 3-hydroxyacyl-thioester dehydratase; involved in fatty acid biosynthesis, required for respiratory growth and for normal mitochondrial morphology"	VIII	230970	231812	+
YGL168W	HUR1	HydroxyUrea Resistance	S000003136	Respiration	Protein of unknown function; reported null mutant phenotype of hydroxyurea sensitivity may be due to effects on overlapping PMR1 gene	VII	187464	187796	+
YOR136W	IDH2	Isocitrate DeHydrogenase	S000005662	Respiration	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated	XV	580250	581359	+
YOL023W	IFM1	Initiation Factor of Mitochondria	S000005383	Respiration	Mitochondrial translation initiation factor 2	XV	278056	280086	+
YCR046C	IMG1	Integrity of Mitochondrial Genome	S000000642	Respiration	Mitochondrial ribosomal protein of the large subunit; required for respiration and for maintenance of the mitochondrial genome	III	209914	210423	-
YCR071C	IMG2	Integrity of Mitochondrial Genome	S000000667	Respiration	"Mitochondrial ribosomal protein of the large subunit; conserved in metazoa, with similarity to human mitochondrial ribosomal protein MRPL49"	III	240103	240543	-
YMR150C	IMP1	Inner Membrane Protease	S000004758	Respiration	Catalytic subunit of mitochondrial inner membrane peptidase complex; required for maturation of mitochondrial proteins of the intermembrane space; complex contains two catalytic subunits (Imp1p and Imp2p that differ in substrate specificty) and Som1p	XIII	561956	562528	-
YMR035W	IMP2	Inner Membrane Protease	S000004638	Respiration	"Catalytic subunit of mitochondrial inner membrane peptidase complex; required for maturation of mitochondrial proteins of the intermembrane space; complex contains two catalytic subunits (Imp1p and Imp2p that differ in substrate specificity), and Som1p"	XIII	341142	341675	+
YIL154C	IMP21	Independent of Mitochondrial Particle	S000001416	Respiration	Transcriptional activator involved in maintenance of ion homeostasis; also involved in protection against DNA damage caused by bleomycin and other oxidants; contains a C-terminal leucine-rich repeat	IX	53981	55021	-
YOL081W	IRA2	Inhibitory Regulator of the RAS-cAMP pathway	S000005441	Respiration	"GTPase-activating protein; negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions; IRA2 has a paralog, IRA1, that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis"	XV	171070	180309	+
YLL033W	IRC19	Increased Recombination Centers	S000003956	Respiration	Protein of unknown function; YLL033W is not an essential gene but mutant is defective in spore formation; null mutant displays increased levels of spontaneous Rad52p foci	XII	73409	74101	+
YDR332W	IRC3	Increased Recombination Centers	S000002740	Respiration	Double-stranded DNA-dependent helicase of the DExH/D-box family; required for maintenance of the mitochondrial (mt) genome; null mutant accumulates double-stranded breaks in mt DNA; localizes to the mt matrix	IV	1131001	1133070	+
YLL027W	ISA1		S000003950	Respiration	Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa2p and possibly Iba57p; isa1 deletion causes loss of mitochondrial DNA and respiratory deficiency; depletion reduces growth on nonfermentable carbon sources; functional ortholog of bacterial A-type ISC proteins; human ISCA1 can complement isa1 null mutant	XII	87403	88155	+
YPR067W	ISA2	Iron Sulfur Assembly	S000006271	Respiration	"Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa1p and possibly Iba57p; localizes to the mitochondrial intermembrane space, overexpression of ISA2 suppresses grx5 mutations"	XVI	682220	682777	+
YPL040C	ISM1	Isoleucyl tRNA Synthetase of Mitochondria	S000005961	Respiration	"Mitochondrial isoleucyl-tRNA synthetase; null mutant is deficient in respiratory growth; human homolog IARS2 implicated in mitochondrial diseases, can partially complement yeast null mutant"	XVI	475993	479001	-
YER110C	KAP123	KAryoPherin	S000000912	Respiration	"Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1"	V	378762	382103	-
YIL125W	KGD1		S000001387	Respiration	"Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase complex; catalyzes a key step in the tricarboxylic acid (TCA) cycle, the oxidative decarboxylation of alpha-ketoglutarate to form succinyl-CoA"	IX	122689	125733	+
YDR148C	KGD2		S000002555	Respiration	"Dihydrolipoyl transsuccinylase; component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle; phosphorylated"	IV	753675	755066	-
YJL094C	KHA1		S000003630	Respiration	Putative K+/H+ antiporter; has a probable role in intracellular cation homeostasis; localized to Golgi vesicles and detected in highly purified mitochondria in high-throughput studies	X	251821	254442	-
YNL071W	LAT1		S000005015	Respiration	Dihydrolipoamide acetyltransferase component (E2) of the PDC; the pyruvate dehydrogenase complex (PDC) catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA	XIV	491523	492971	+
YLR260W	LCB5	Long-Chain Base	S000004250	Respiration	"Minor sphingoid long-chain base kinase; possibly involved in synthesis of long-chain base phosphates, which function as signaling molecules; LCB5 has a paralog, LCB4, that arose from the whole genome duplication"	XII	665844	667907	+
YLR239C	LIP2	LIPoyl ligase	S000004229	Respiration	Lipoyl ligase; involved in the modification of mitochondrial enzymes by the attachment of lipoic acid groups	XII	616332	617318	-
YOR196C	LIP5		S000005722	Respiration	Protein involved in biosynthesis of the coenzyme lipoic acid; has similarity to E. coli lipoic acid synthase	XV	715593	716837	-
YFL018C	LPD1		S000001876	Respiration	"Dihydrolipoamide dehydrogenase; the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes; LPD1 has a paralog, IRC15, that arose from the whole genome duplication"	VI	101628	103127	-
YMR021C	MAC1	Metal binding ACtivator	S000004623	Respiration	Copper-sensing transcription factor; involved in regulation of genes required for high affinity copper transport; required for regulation of yeast copper genes in response to DNA-damaging agents; undergoes changes in redox state in response to changing levels of copper or MMS	XIII	317165	318418	-
YIL070C	MAM33	Mitochondrial Acidic Matrix protein	S000001332	Respiration	Specific translational activator for the mitochondrial COX1 mRNA; acidic protein of the mitochondrial matrix; related to the human complement receptor gC1q-R	IX	230272	231072	-
YBR185C	MBA1		S000000389	Respiration	Membrane-associated mitoribosome receptor; involved along with Dpi29p in the cotranslational insertion of nascent polypeptide chains into the inner mitochondrial membrane; associates with nascent polypeptide chains; interacts with Mdm38p and may recruit mRNA-specific translational activators to the mitoribosome; null mutant displays decreased tolerance to mistranslation-induced proteotoxic stress; localizes to the inner mitochondrial membrane	II	599123	599959	-
YDL056W	MBP1	MluI-box Binding Protein	S000002214	Respiration	"Transcription factor; involved in regulation of cell cycle progression from G1 to S phase, forms a complex with Swi6p that binds to MluI cell cycle box regulatory element in promoters of DNA synthesis genes"	IV	352877	355378	+
YOR221C	MCT1	Malonyl-CoA:ACP Transferase	S000005747	Respiration	Predicted malonyl-CoA:ACP transferase; putative component of a type-II mitochondrial fatty acid synthase that produces intermediates for phospholipid remodeling	XV	756476	757558	-
YKL085W	MDH1	Malate DeHydrogenase	S000001568	Respiration	Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated	XI	279123	280127	+
YFL016C	MDJ1	Mitochondrial DnaJ	S000001878	Respiration	Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones	VI	104701	106236	-
YPL270W	MDL2		S000006191	Respiration	Mitochondrial inner membrane half-type ABC transporter; required for respiratory growth at high temperature; localizes to vacuole membrane in response to H2O2; similar to human TAP1 and TAP2 implicated in bare lymphocyte syndrome and Wegener-like granulomatosis	XVI	30482	32803	+
YAL010C	MDM10	Mitochondrial Distribution and Morphology	S000000008	Respiration	"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"	I	134184	135665	-
YOL009C	MDM12		S000005369	Respiration	"Mitochondrial outer membrane protein, ERMES complex subunit; required for transmission of mitochondria to daughter cells; required for mitophagy; may influence import and assembly of outer membrane beta-barrel proteins; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase"	XV	309324	310139	-
YLR368W	MDM30	Mitochondrial Distribution and Morphology	S000004360	Respiration	F-box component of an SCF ubiquitin protein ligase complex; associates with and is required for Fzo1p ubiquitination and for mitochondria fusion; stimulates nuclear export of specific mRNAs; promotes ubiquitin-mediated degradation of Gal4p in some strains	XII	857540	859336	+
YKL053C-A	MDM35		S000007243	Respiration	Mitochondrial intermembrane space protein; forms complex with Ups2p that transfers phosphatidylserine from outer membrane to inner membrane for phosphatidylethanolamine synthesis; mutation affects mitochondrial distribution and morphology; contains twin cysteine-x9-cysteine motifs; protein abundance increases in response to DNA replication stress	XI	339182	339442	-
